input,target
Wow... Loved this place.,Positive
Crust is not good.,Negative
Not tasty and the texture was just nasty.,Negative
Stopped by during the late May bank holiday off Rick Steve recommendation and loved it.,Positive
The selection on the menu was great and so were the prices.,Positive
Now I am getting angry and I want my damn pho.,Negative
Honeslty it didn't taste THAT fresh.),Negative
The potatoes were like rubber and you could tell they had been made up ahead of time being kept under a warmer.,Negative
The fries were great too.,Positive
A great touch.,Positive
Service was very prompt.,Positive
Would not go back.,Negative
The cashier had no care what so ever on what I had to say it still ended up being wayyy overpriced.,Negative
"I tried the Cape Cod ravoli, chicken, with cranberry...mmmm!",Positive
I was disgusted because I was pretty sure that was human hair.,Negative
I was shocked because no signs indicate cash only.,Negative
Highly recommended.,Positive
Waitress was a little slow in service.,Negative
"This place is not worth your time, let alone Vegas.",Negative
did not like at all.,Negative
The Burrittos Blah!,Negative
"The food, amazing.",Positive
Service is also cute.,Positive
I could care less... The interior is just beautiful.,Positive
So they performed.,Positive
That's right....the red velvet cake.....ohhh this stuff is so good.,Positive
#NAME?,Negative
"This hole in the wall has great Mexican street tacos, and friendly staff.",Positive
"Took an hour to get our food only 4 tables in restaurant my food was Luke warm, Our sever was running around like he was totally overwhelmed.",Negative
The worst was the salmon sashimi.,Negative
"Also there are combos like a burger, fries, and beer for 23 which is a decent deal.",Positive
This was like the final blow!,Negative
I found this place by accident and I could not be happier.,Positive
"seems like a good quick place to grab a bite of some familiar pub food, but do yourself a favor and look elsewhere.",Negative
"Overall, I like this place a lot.",Positive
The only redeeming quality of the restaurant was that it was very inexpensive.,Positive
Ample portions and good prices.,Positive
"Poor service, the waiter made me feel like I was stupid every time he came to the table.",Negative
My first visit to Hiro was a delight!,Positive
Service sucks.,Negative
The shrimp tender and moist.,Positive
There is not a deal good enough that would drag me into that establishment again.,Negative
Hard to judge whether these sides were good because we were grossed out by the melted styrofoam and didn't want to eat it for fear of getting sick.,Negative
"On a positive note, our server was very attentive and provided great service.",Positive
"Frozen pucks of disgust, with some of the worst people behind the register.",Negative
The only thing I did like was the prime rib and dessert section.,Positive
It's too bad the food is so damn generic.,Negative
"The burger is good beef, cooked just right.",Positive
If you want a sandwich just go to any Firehouse!!!!!,Positive
"My side Greek salad with the Greek dressing was so tasty, and the pita and hummus was very refreshing.",Positive
We ordered the duck rare and it was pink and tender on the inside with a nice char on the outside.,Positive
He came running after us when he realized my husband had left his sunglasses on the table.,Positive
Their chow mein is so good!,Positive
"They have horrible attitudes towards customers, and talk down to each one when customers don't enjoy their food.",Negative
The portion was huge!,Positive
"Loved it...friendly servers, great food, wonderful and imaginative menu.",Positive
The Heart Attack Grill in downtown Vegas is an absolutely flat-lined excuse for a restaurant.,Negative
Not much seafood and like 5 strings of pasta at the bottom.,Negative
"The salad had just the right amount of sauce to not over power the scallop, which was perfectly cooked.",Positive
"The ripped banana was not only ripped, but petrified and tasteless.",Negative
At least think to refill my water before I struggle to wave you over for 10 minutes.,Negative
This place receives stars for their APPETIZERS!!!,Positive
The cocktails are all handmade and delicious.,Positive
We'd definitely go back here again.,Positive
We are so glad we found this place.,Positive
"Great food and service, huge portions and they give a military discount.",Positive
Always a great time at Dos Gringos!,Positive
Update.....went back for a second time and it was still just as amazing,Positive
We got the food and apparently they have never heard of salt and the batter on the fish was chewy.,Negative
A great way to finish a great.,Positive
"The deal included 5 tastings and 2 drinks, and Jeff went above and beyond what we expected.",Positive
#NAME?,Positive
The service was meh.,Negative
"It took over 30 min to get their milkshake, which was nothing more than chocolate milk.",Negative
"I guess I should have known that this place would suck, because it is inside of the Excalibur, but I didn't use my common sense.",Negative
The scallop dish is quite appalling for value as well.,Negative
2 times - Very Bad Customer Service !,Negative
The sweet potato fries were very good and seasoned well.,Positive
Today is the second time I've been to their lunch buffet and it was pretty good.,Positive
There is so much good food in Vegas that I feel cheated for wasting an eating opportunity by going to Rice and Company.,Negative
Coming here is like experiencing an underwhelming relationship where both parties can't wait for the other person to ask to break up.,Negative
walked in and the place smelled like an old grease trap and only 2 others there eating.,Negative
The turkey and roast beef were bland.,Negative
This place has it!,Positive
The pan cakes everyone are raving about taste like a sugary disaster tailored to the palate of a six year old.,Negative
I love the Pho and the spring rolls oh so yummy you have to try.,Positive
The poor batter to meat ratio made the chicken tenders very unsatisfying.,Negative
All I have to say is the food was amazing!!!,Positive
Omelets are to die for!,Positive
Everything was fresh and delicious!,Positive
"In summary, this was a largely disappointing dining experience.",Negative
"It's like a really sexy party in your mouth, where you're outrageously flirting with the hottest person at the party.",Positive
"Never been to Hard Rock Casino before, WILL NEVER EVER STEP FORWARD IN IT AGAIN!",Negative
Best breakfast buffet!!!,Positive
say bye bye to your tip lady!,Negative
We'll never go again.,Negative
Will be back again!,Positive
Food arrived quickly!,Positive
It was not good.,Negative
"On the up side, their cafe serves really good food.",Positive
"Our server was fantastic and when he found out the wife loves roasted garlic and bone marrow, he added extra to our meal and another marrow to go!",Positive
"The only good thing was our waiter, he was very helpful and kept the bloddy mary's coming.",Positive
"Best Buffet in town, for the price you cannot beat it.",Positive
"I LOVED their mussels cooked in this wine reduction, the duck was tender, and their potato dishes were delicious.",Positive
This is one of the better buffets that I have been to.,Positive
So we went to Tigerlilly and had a fantastic afternoon!,Positive
"The food was delicious, our bartender was attentive and personable AND we got a great deal!",Positive
The ambience is wonderful and there is music playing.,Positive
Will go back next trip out.,Positive
Sooooo good!!,Positive
"REAL sushi lovers, let's be honest - Yama is not that good.",Negative
"At least 40min passed in between us ordering and the food arriving, and it wasn't that busy.",Negative
This is a really fantastic Thai restaurant which is definitely worth a visit.,Positive
"Nice, spicy and tender.",Positive
Good prices.,Positive
Check it out.,Positive
It was pretty gross!,Negative
I've had better atmosphere.,Negative
Kind of hard to mess up a steak but they did.,Negative
"Although I very much liked the look and sound of this place, the actual experience was a bit disappointing.",Negative
I just don't know how this place managed to served the blandest food I have ever eaten when they are preparing Indian cuisine.,Negative
"Worst service to boot, but that is the least of their worries.",Negative
Service was fine and the waitress was friendly.,Positive
"The guys all had steaks, and our steak loving son who has had steak at the best and worst places said it was the best steak he's ever eaten.",Positive
"We thought you'd have to venture further away to get good sushi, but this place really hit the spot that night.",Positive
"Host staff were, for lack of a better word, BITCHES!",Negative
Bland... Not a liking this place for a number of reasons and I don't want to waste time on bad reviewing.. I'll leave it at that...,Negative
"Phenomenal food, service and ambiance.",Positive
I wouldn't return.,Negative
"Definitely worth venturing off the strip for the pork belly, will return next time I'm in Vegas.",Positive
This place is way too overpriced for mediocre food.,Negative
Penne vodka excellent!,Positive
"They have a good selection of food including a massive meatloaf sandwich, a crispy chicken wrap, a delish tuna melt and some tasty burgers.",Positive
The management is rude.,Negative
"Delicious NYC bagels, good selections of cream cheese, real Lox with capers even.",Positive
"Great Subway, in fact it's so good when you come here every other Subway will not meet your expectations.",Positive
I had a seriously solid breakfast here.,Positive
This is one of the best bars with food in Vegas.,Positive
"He was extremely rude and really, there are so many other restaurants I would love to dine at during a weekend in Vegas.",Negative
My drink was never empty and he made some really great menu suggestions.,Positive
Don't do it!!!!,Negative
The waiter wasn't helpful or friendly and rarely checked on us.,Negative
My husband and I ate lunch here and were very disappointed with the food and service.,Negative
And the red curry had so much bamboo shoots and wasn't very tasty to me.,Negative
Nice blanket of moz over top but i feel like this was done to cover up the subpar food.,Positive
The bathrooms are clean and the place itself is well decorated.,Positive
"The menu is always changing, food quality is going down & service is extremely slow.",Negative
"The service was a little slow , considering that were served by 3 people servers so the food was coming in a slow pace.",Negative
I give it 2 thumbs down,Negative
We watched our waiter pay a lot more attention to other tables and ignore us.,Negative
My fianc̩ and I came in the middle of the day and we were greeted and seated right away.,Positive
This is a great restaurant at the Mandalay Bay.,Positive
We waited for forty five minutes in vain.,Negative
Crostini that came with the salad was stale.,Negative
Some highlights : Great quality nigiri here!,Positive
the staff is friendly and the joint is always clean.,Positive
this was a different cut than the piece the other day but still wonderful and tender s well as well flavored.,Positive
I ordered the Voodoo pasta and it was the first time I'd had really excellent pasta since going gluten free several years ago.,Positive
this place is good.,Positive
"Unfortunately, we must have hit the bakery on leftover day because everything we ordered was STALE.",Negative
I came back today since they relocated and still not impressed.,Negative
I was seated immediately.,Positive
"Their menu is diverse, and reasonably priced.",Positive
Avoid at all cost!,Negative
Restaurant is always full but never a wait.,Positive
DELICIOUS!!,Positive
This place is hands-down one of the best places to eat in the Phoenix metro area.,Positive
So don't go there if you are looking for good food...,Negative
I've never been treated so bad.,Negative
Bacon is hella salty.,Positive
"We also ordered the spinach and avocado salad, the ingredients were sad and the dressing literally had zero taste.",Negative
"This really is how Vegas fine dining used to be, right down to the menus handed to the ladies that have no prices listed.",Positive
The waitresses are very friendly.,Positive
"Lordy, the Khao Soi is a dish that is not to be missed for curry lovers!",Positive
Everything on the menu is terrific and we were also thrilled that they made amazing accommodations for our vegetarian daughter.,Positive
"Perhaps I caught them on an off night judging by the other reviews, but I'm not inspired to go back.",Negative
The service here leaves a lot to be desired.,Negative
"The atmosphere is modern and hip, while maintaining a touch of coziness.",Positive
"Not a weekly haunt, but definitely a place to come back to every once in a while.",Positive
We literally sat there for 20 minutes with no one asking to take our order.,Negative
"The burger had absolutely no flavor - the meat itself was totally bland, the burger was overcooked and there was no charcoal flavor.",Negative
I also decided not to send it back because our waitress looked like she was on the verge of having a heart attack.,Negative
I dressed up to be treated so rudely!,Negative
It was probably dirt.,Negative
"Love this place, hits the spot when I want something healthy but not lacking in quantity or flavor.",Positive
I ordered the Lemon raspberry ice cocktail which was also incredible.,Positive
"The food sucked, which we expected but it sucked more than we could have imagined.",Negative
Interesting decor.,Positive
What I really like there is the crepe station.,Positive
"Also were served hot bread and butter, and home made potato chips with bacon bits on top....very original and very good.",Positive
you can watch them preparing the delicious food!),Positive
Both of the egg rolls were fantastic.,Positive
"When my order arrived, one of the gyros was missing.",Negative
"I had a salad with the wings, and some ice cream for dessert and left feeling quite satisfied.",Positive
I'm not really sure how Joey's was voted best hot dog in the Valley by readers of Phoenix Magazine.,Negative
The best place to go for a tasty bowl of Pho!,Positive
The live music on Fridays totally blows.,Negative
I've never been more insulted or felt disrespected.,Negative
Very friendly staff.,Positive
It is worth the drive.,Positive
"I had heard good things about this place, but it exceeding every hope I could have dreamed of.",Positive
Food was great and so was the serivce!,Positive
The warm beer didn't help.,Negative
Great brunch spot.,Positive
Service is friendly and inviting.,Positive
Very good lunch spot.,Positive
I've lived here since 1979 and this was the first (and last) time I've stepped foot into this place.,Negative
The WORST EXPERIENCE EVER.,Negative
Must have been an off night at this place.,Negative
"The sides are delish - mixed mushrooms, yukon gold puree, white corn - beateous.",Positive
"If that bug never showed up I would have given a 4 for sure, but on the other side of the wall where this bug was climbing was the kitchen.",Negative
"For about 10 minutes, we we're waiting for her salad when we realized that it wasn't coming any time soon.",Negative
My friend loved the salmon tartar.,Positive
Won't go back.,Negative
Extremely Tasty!,Positive
Waitress was good though!,Positive
Soggy and not good.,Negative
The Jamaican mojitos are delicious.,Positive
Which are small and not worth the price.,Negative
#NAME?,Positive
"The shower area is outside so you can only rinse, not take a full shower, unless you don't mind being nude for everyone to see!",Negative
The service was a bit lacking.,Negative
"Lobster Bisque, Bussell Sprouts, Risotto, Filet ALL needed salt and pepper..and of course there is none at the tables.",Negative
Hopefully this bodes for them going out of business and someone who can cook can come in.,Negative
"It was either too cold, not enough flavor or just bad.",Negative
I loved the bacon wrapped dates.,Positive
This is an unbelievable BARGAIN!,Positive
The folks at Otto always make us feel so welcome and special.,Positive
"As for the ""mains,"" also uninspired.",Negative
This is the place where I first had pho and it was amazing!!,Positive
This wonderful experience made this place a must-stop whenever we are in town again.,Positive
"If the food isn't bad enough for you, then enjoy dealing with the world's worst/annoying drunk people.",Negative
Very very fun chef.,Positive
"Ordered a double cheeseburger & got a single patty that was falling apart (picture uploaded) Yeah, still sucks.",Negative
Great place to have a couple drinks and watch any and all sporting events as the walls are covered with TV's.,Positive
"If it were possible to give them zero stars, they'd have it.",Negative
"The descriptions said ""yum yum sauce"" and another said ""eel sauce"", yet another said ""spicy mayo""...well NONE of the rolls had sauces on them.",Negative
"I'd say that would be the hardest decision... Honestly, all of M's dishes taste how they are supposed to taste (amazing).",Positive
If she had not rolled the eyes we may have stayed... Not sure if we will go back and try it again.,Negative
"Everyone is very attentive, providing excellent customer service.",Positive
Horrible - don't waste your time and money.,Negative
Now this dish was quite flavourful.,Positive
By this time our side of the restaurant was almost empty so there was no excuse.,Negative
"(It wasn't busy either) Also, the building was FREEZING cold.",Negative
"like the other reviewer said ""you couldn't pay me to eat at this place again.""",Negative
-Drinks took close to 30 minutes to come out at one point.,Negative
"Seriously flavorful delights, folks.",Positive
Much better than the other AYCE sushi place I went to in Vegas.,Positive
The lighting is just dark enough to set the mood.,Positive
Based on the sub-par service I received and no effort to show their gratitude for my business I won't be going back.,Negative
Owner's are really great people.!,Positive
There is nothing privileged about working/eating there.,Negative
The Greek dressing was very creamy and flavorful.,Positive
"Overall, I don't think that I would take my parents to this place again because they made most of the similar complaints that I silently felt too.",Negative
Now the pizza itself was good the peanut sauce was very tasty.,Positive
We had 7 at our table and the service was pretty fast.,Positive
Fantastic service here.,Positive
I as well would've given godfathers zero stars if possible.,Negative
They know how to make them here.,Positive
very tough and very short on flavor!,Negative
I hope this place sticks around.,Positive
"I have been in more than a few bars in Vegas, and do not ever recall being charged for tap water.",Negative
The restaurant atmosphere was exquisite.,Positive
"Good service, very clean, and inexpensive, to boot!",Positive
The seafood was fresh and generous in portion.,Positive
"Plus, it's only 8 bucks.",Positive
"The service was not up to par, either.",Negative
"Thus far, have only visited twice and the food was absolutely delicious each time.",Positive
Just as good as when I had it more than a year ago!,Positive
"For a self proclaimed coffee cafe, I was wildly disappointed.",Negative
The Veggitarian platter is out of this world!,Positive
You cant go wrong with any of the food here.,Positive
You can't beat that.,Positive
"Stopped by this place while in Madison for the Ironman, very friendly, kind staff.",Positive
The chefs were friendly and did a good job.,Positive
"I've had better, not only from dedicated boba tea spots, but even from Jenni Pho.",Negative
I liked the patio and the service was outstanding.,Positive
The goat taco didn't skimp on the meat and wow what FLAVOR!,Positive
I think not again,Negative
I had the mac salad and it was pretty bland so I will not be getting that again.,Negative
I went to Bachi Burger on a friend's recommendation and was not disappointed.,Positive
Service stinks here!,Negative
I waited and waited.,Negative
"This place is not quality sushi, it is not a quality restaurant.",Negative
I would definitely recommend the wings as well as the pizza.,Positive
Great Pizza and Salads!,Positive
Things that went wrong: - They burned the saganaki.,Negative
We waited an hour for what was a breakfast I could have done 100 times better at home.,Negative
This place is amazing!,Positive
"I hate to disagree with my fellow Yelpers, but my husband and I were so disappointed with this place.",Negative
Waited 2 hours & never got either of our pizzas as many other around us who came in later did!,Negative
Just don't know why they were so slow.,Negative
"The staff is great, the food is delish, and they have an incredible beer selection.",Positive
"I live in the neighborhood so I am disappointed I won't be back here, because it is a convenient location.",Negative
I didn't know pulled pork could be soooo delicious.,Positive
"You get incredibly fresh fish, prepared with care.",Positive
Before I go in to why I gave a 1 star rating please know that this was my third time eating at Bachi burger before writing a review.,Negative
I love the fact that everything on their menu is worth it.,Positive
Never again will I be dining at this place!,Negative
The food was excellent and service was very good.,Positive
Good beer & drink selection and good food selection.,Positive
Please stay away from the shrimp stir fried noodles.,Negative
The potato chip order was sad... I could probably count how many chips were in that box and it was probably around 12.,Negative
Food was really boring.,Negative
Good Service-check!,Positive
This greedy corporation will NEVER see another dime from me!,Negative
"Will never, ever go back.",Negative
"As much as I'd like to go back, I can't get passed the atrocious service and will never return.",Negative
"In the summer, you can dine in a charming outdoor patio - so very delightful.",Positive
I did not expect this to be so good!,Positive
Fantastic food!,Positive
She ordered a toasted English muffin that came out untoasted.,Negative
The food was very good.,Positive
Never going back.,Negative
"Great food for the price, which is very high quality and house made.",Positive
The bus boy on the other hand was so rude.,Negative
"By this point, my friends and I had basically figured out this place was a joke and didn't mind making it publicly and loudly known.",Negative
"Back to good BBQ, lighter fare, reasonable pricing and tell the public they are back to the old ways.",Positive
"And considering the two of us left there very full and happy for about $20, you just can't go wrong.",Positive
All the bread is made in-house!,Positive
The only downside is the service.,Negative
"Also, the fries are without a doubt the worst fries I've ever had.",Negative
Service was exceptional and food was a good as all the reviews.,Positive
"A couple of months later, I returned and had an amazing meal.",Positive
Favorite place in town for shawarrrrrrma!!!!!!,Positive
The black eyed peas and sweet potatoes... UNREAL!,Positive
You won't be disappointed.,Positive
"They could serve it with just the vinaigrette and it may make for a better overall dish, but it was still very good.",Positive
"I go to far too many places and I've never seen any restaurant that serves a 1 egg breakfast, especially for $4.00.",Negative
When my mom and I got home she immediately got sick and she only had a few bites of salad.,Negative
The servers are not pleasant to deal with and they don't always honor Pizza Hut coupons.,Negative
"Both of them were truly unbelievably good, and I am so glad we went back.",Positive
"We had fantastic service, and were pleased by the atmosphere.",Positive
Everything was gross.,Negative
I love this place.,Positive
Great service and food.,Positive
First - the bathrooms at this location were dirty- Seat covers were not replenished & just plain yucky!!!,Negative
"The burger... I got the ""Gold Standard"" a $17 burger and was kind of disappointed.",Negative
"OMG, the food was delicioso!",Positive
There is nothing authentic about this place.,Negative
the spaghetti is nothing special whatsoever.,Negative
"Of all the dishes, the salmon was the best, but all were great.",Positive
The vegetables are so fresh and the sauce feels like authentic Thai.,Positive
It's worth driving up from Tucson!,Positive
The selection was probably the worst I've seen in Vegas.....there was none.,Negative
Pretty good beer selection too.,Positive
"This place is like Chipotle, but BETTER.",Positive
"Classy/warm atmosphere, fun and fresh appetizers, succulent steaks (Baseball steak!!!!!",Positive
5 stars for the brick oven bread app!,Positive
"I have eaten here multiple times, and each time the food was delicious.",Positive
We sat another ten minutes and finally gave up and left.,Negative
He was terrible!,Negative
Everyone is treated equally special.,Positive
It shouldn't take 30 min for pancakes and eggs.,Negative
It was delicious!!!,Positive
"On the good side, the staff was genuinely pleasant and enthusiastic - a real treat.",Positive
"Sadly, Gordon Ramsey's Steak is a place we shall sharply avoid during our next trip to Vegas.",Negative
As always the evening was wonderful and the food delicious!,Positive
Best fish I've ever had in my life!,Positive
(The bathroom is just next door and very nice.),Positive
The buffet is small and all the food they offered was BLAND.,Negative
This is an Outstanding little restaurant with some of the Best Food I have ever tasted.,Positive
Pretty cool I would say.,Positive
Definitely a turn off for me & i doubt I'll be back unless someone else is buying.,Negative
Server did a great job handling our large rowdy table.,Positive
"I find wasting food to be despicable, but this just wasn't food.",Negative
My wife had the Lobster Bisque soup which was lukewarm.,Negative
Would come back again if I had a sushi craving while in Vegas.,Positive
"The staff are great, the ambiance is great.",Positive
He deserves 5 stars.,Positive
I left with a stomach ache and felt sick the rest of the day.,Negative
They dropped more than the ball.,Negative
"The dining space is tiny, but elegantly decorated and comfortable.",Positive
"They will customize your order any way you'd like, my usual is Eggplant with Green Bean stir fry, love it!",Positive
And the beans and rice were mediocre at best.,Negative
Best tacos in town by far!!,Positive
I took back my money and got outta there.,Negative
"In an interesting part of town, this place is amazing.",Positive
RUDE & INCONSIDERATE MANAGEMENT.,Negative
"The staff are now not as friendly, the wait times for being served are horrible, no one even says hi for the first 10 minutes.",Negative
I won't be back.,Negative
They have great dinners.,Positive
The service was outshining & I definitely recommend the Halibut.,Positive
The food was terrible.,Negative
WILL NEVER EVER GO BACK AND HAVE TOLD MANY PEOPLE WHAT HAD HAPPENED.,Negative
I don't recommend unless your car breaks down in front of it and you are starving.,Negative
I will come back here every time I'm in Vegas.,Positive
This place deserves one star and 90% has to do with the food.,Negative
This is a disgrace.,Negative
